['Lock_0', 105, 'M1', -1, '0', 'newNode_66_x']
[2, 101, '0xd919e0', '-1', '0', 'newNode_66']
['Fence_Lock_0', 103, 0, -1, '0', 'newNode_66_x']
['UnLock_0', 106, 'M1', -1, '0', 'newNode_66_x']
[3, 102, '0xd919e0', '-1', '0', 'newNode_66_x']
['Lock_2', 105, 'M1', -1, '0', 'dll_insert_end_86_x']
[4, 101, '0xd919e8', '-1', '0', 'dll_insert_end_86']
['Fence_Lock_2', 103, 0, -1, '0', 'dll_insert_end_86_x']
['UnLock_2', 106, 'M1', -1, '0', 'dll_insert_end_86_x']
[5, 102, '0xd919e8', '-1', '0', 'dll_insert_end_86_x']
[6, 103, '0', '-1', '0', 'dll_insert_end_86_x']
['Lock_6', 105, 'M1', -1, '0', 'dll_insert_end_87_x']
[7, 101, '0xd91ae0', '0xd919e8', '0', 'dll_insert_end_87']
['Fence_Lock_6', 103, 0, -1, '0', 'dll_insert_end_87_x']
['UnLock_6', 106, 'M1', -1, '0', 'dll_insert_end_87_x']
[8, 102, '0xd91ae0', '-1', '0', 'dll_insert_end_87_x']
[9, 101, '0xd91ad8', '-1', '0', 'dll_insert_end_86']
[10, 101, '0xd91ba0', '0xd919e8', '0', 'dll_insert_end_87']
[11, 101, '0xd91b98', '-1', '0', 'dll_insert_end_86']
[12, 101, '0xd91c00', '0xd919e8', '0', 'dll_insert_end_87']
[13, 101, '0xd91bf8', '-1', '0', 'dll_insert_end_86']
[14, 101, '0xd91c60', '0xd919e8', '0', 'dll_insert_end_87']
[15, 101, '0xd91c58', '-1', '0', 'dll_insert_end_86']
[16, 101, '0xd91cc0', '0xd919e8', '0', 'dll_insert_end_87']
[17, 101, '0xd91cb8', '-1', '0', 'dll_insert_end_86']
[18, 101, '0xd91d20', '0xd919e8', '0', 'dll_insert_end_87']
[19, 101, '0xd91d18', '-1', '0', 'dll_insert_end_86']
[20, 101, '0xd91d80', '0xd919e8', '0', 'dll_insert_end_87']
[21, 101, '0xd91d78', '-1', '0', 'dll_insert_end_86']
[22, 101, '0xd91de0', '0xd919e8', '0', 'dll_insert_end_87']
[23, 101, '0xd91dd8', '-1', '0', 'dll_insert_end_86']
[24, 101, '0xd91e40', '0xd919e8', '0', 'dll_insert_end_87']
[25, 101, '0xd91e38', '-1', '0', 'dll_insert_end_86']
[26, 101, '0xd91ea0', '0xd919e8', '0', 'dll_insert_end_87']
[27, 101, '0xd91e98', '-1', '0', 'dll_insert_end_86']
[28, 101, '0xd91f00', '0xd919e8', '0', 'dll_insert_end_87']
[29, 101, '0xd91ef8', '-1', '0', 'dll_insert_end_86']
[30, 101, '0xd91f60', '0xd919e8', '0', 'dll_insert_end_87']
[31, 101, '0xd91f58', '-1', '0', 'dll_insert_end_86']
[32, 101, '0xd91fc0', '0xd919e8', '0', 'dll_insert_end_87']
[33, 101, '0xd91fb8', '-1', '0', 'dll_insert_end_86']
[34, 101, '0xd92020', '0xd919e8', '0', 'dll_insert_end_87']
[35, 101, '0xd92018', '-1', '0', 'dll_insert_end_86']
[36, 101, '0xd92080', '0xd919e8', '0', 'dll_insert_end_87']
[37, 101, '0xd92078', '-1', '0', 'dll_insert_end_86']
[38, 101, '0xd920e0', '0xd919e8', '0', 'dll_insert_end_87']
[39, 101, '0xd920d8', '-1', '0', 'dll_insert_end_86']
[40, 101, '0xd92140', '0xd919e8', '0', 'dll_insert_end_87']
[41, 101, '0xd92138', '-1', '0', 'dll_insert_end_86']
[42, 101, '0xd921a0', '0xd919e8', '0', 'dll_insert_end_87']
[43, 101, '0xd92198', '-1', '0', 'dll_insert_end_86']
[44, 101, '0xd92200', '0xd919e8', '0', 'dll_insert_end_87']
['Lock_1', 105, 'M1', -1, '1', 'dll_remove_start_143_x']
[45, 101, '0xd919e0', '0xd919e0', '1', 'dll_remove_start_143']
['Fence_Lock_1', 103, 0, -1, '1', 'dll_remove_start_143_x']
['UnLock_1', 106, 'M1', -1, '1', 'dll_remove_start_143_x']
[46, 102, '0xd919e0', '-1', '1', 'dll_remove_start_143_x']
['Lock_9', 105, 'M1', -1, '1', 'dll_remove_start_145_x']
[47, 101, '0xd919e8', '0x7f44c4002d68', '1', 'dll_remove_start_145']
['Fence_Lock_9', 103, 0, -1, '1', 'dll_remove_start_145_x']
['UnLock_9', 106, 'M1', -1, '1', 'dll_remove_start_145_x']
[48, 102, '0xd919e8', '-1', '1', 'dll_remove_start_145_x']
['Lock_3', 105, 'M1', -1, '1', 'dll_remove_start_150_x']
[49, 101, '0xd91ae0', '0xd919e8', '1', 'dll_remove_start_150']
['Fence_Lock_3', 103, 0, -1, '1', 'dll_remove_start_150_x']
['UnLock_3', 106, 'M1', -1, '1', 'dll_remove_start_150_x']
[50, 102, '0xd91ae0', '-1', '1', 'dll_remove_start_150_x']
[51, 103, '0', '-1', '1', 'dll_remove_start_150_x']
[52, 101, '0xd91ad0', '0xd919e0', '2', 'dll_remove_start_143']
['Lock_19', 105, 'M1', -1, '2', 'dll_remove_start_145_x']
[53, 101, '0xd91ad8', '0x7f44c4002d68', '2', 'dll_remove_start_145']
['UnLock_19', 106, 'M1', -1, '2', 'dll_remove_start_145_x']
['Lock_10', 105, 'M1', -1, '2', 'dll_remove_start_150_x']
[54, 101, '0xd91ba0', '0xd919e8', '2', 'dll_remove_start_150']
['UnLock_10', 106, 'M1', -1, '2', 'dll_remove_start_150_x']
[55, 103, '0', '-1', '2', 'dll_insert_start_102_x']
['Lock_12', 105, 'M1', -1, '2', 'dll_insert_end_86_x']
[56, 101, '0xd921f8', '-1', '2', 'dll_insert_end_86']
['Fence_Lock_12', 103, 0, -1, '2', 'dll_insert_end_86_x']
['UnLock_12', 106, 'M1', -1, '2', 'dll_insert_end_86_x']
['Lock_5', 105, 'M1', -1, '2', 'dll_insert_end_87_x']
[57, 101, '0xd91ae0', '0xd919e8', '2', 'dll_insert_end_87']
['UnLock_5', 106, 'M1', -1, '2', 'dll_insert_end_87_x']
[58, 101, '0xd91ad8', '-1', '1', 'dll_insert_end_86']
