['Lock_12', 105, 'M1', -1, '0', 'newNode_76_x']
[2, 101, '0xfa1210', '-1', '0', 'newNode_76']
['Fence_Lock_12', 103, 0, -1, '0', 'newNode_76_x']
['UnLock_12', 106, 'M1', -1, '0', 'newNode_76_x']
[3, 102, '0xfa1210', '-1', '0', 'newNode_76_x']
[4, 103, '0', '-1', '0', 'pq_insert_101_x']
['Lock_2', 105, 'M1', -1, '0', 'pq_insert_96_x']
[5, 101, '0xfa1218', '0xfa1214', '0', 'pq_insert_96']
['Fence_Lock_2', 103, 0, -1, '0', 'pq_insert_96_x']
['UnLock_2', 106, 'M1', -1, '0', 'pq_insert_96_x']
[6, 102, '0xfa1218', '-1', '0', 'pq_insert_96_x']
['Lock_0', 105, 'M1', -1, '0', 'pq_insert_95_x']
[7, 101, '0xfa1214', '0xfa1214', '0', 'pq_insert_95']
['Fence_Lock_0', 103, 0, -1, '0', 'pq_insert_95_x']
['UnLock_0', 106, 'M1', -1, '0', 'pq_insert_95_x']
[8, 102, '0xfa1214', '-1', '0', 'pq_insert_95_x']
[9, 101, '0xfa2348', '0xfa1214', '0', 'pq_insert_96']
[10, 101, '0xfa2344', '0xfa1214', '0', 'pq_insert_95']
['Lock_4', 105, 'M1', -1, '0', 'pq_insert_101_x']
[11, 101, '0xfa2348', '0xfa1214', '0', 'pq_insert_101']
['Fence_Lock_4', 103, 0, -1, '0', 'pq_insert_101_x']
['UnLock_4', 106, 'M1', -1, '0', 'pq_insert_101_x']
[12, 102, '0xfa2348', '-1', '0', 'pq_insert_101_x']
[13, 101, '0xfa2348', '0xfa2348', '0', 'pq_insert_101']
[14, 101, '0xfa1214', '0xfa2348', '0', 'pq_insert_101']
['Lock_11', 105, 'M1', -1, '0', 'pq_insert_102_x']
[15, 101, '0xfa2348', '0xfa1218', '0', 'pq_insert_102']
['Fence_Lock_11', 103, 0, -1, '0', 'pq_insert_102_x']
['UnLock_11', 106, 'M1', -1, '0', 'pq_insert_102_x']
[16, 102, '0xfa2348', '-1', '0', 'pq_insert_102_x']
[17, 101, '0xfa1218', '0xfa1214', '0', 'pq_insert_101']
['Lock_6', 105, 'M1', -1, '0', 'pq_insert_104_x']
[18, 101, '0xfa1218', '0xfa1214', '0', 'pq_insert_104']
['Fence_Lock_6', 103, 0, -1, '0', 'pq_insert_104_x']
['UnLock_6', 106, 'M1', -1, '0', 'pq_insert_104_x']
[19, 102, '0xfa1218', '-1', '0', 'pq_insert_104_x']
[20, 101, '0xfa23d8', '0xfa1214', '0', 'pq_insert_104']
[21, 103, '0', '-1', '0', 'pq_insert_95_x']
['Lock_8', 105, 'M1', -1, '0', 'pq_insert_105_x']
[22, 101, '0xfa1218', '0xfa23d8', '0', 'pq_insert_105']
['Fence_Lock_8', 103, 0, -1, '0', 'pq_insert_105_x']
['UnLock_8', 106, 'M1', -1, '0', 'pq_insert_105_x']
[23, 102, '0xfa1218', '-1', '0', 'pq_insert_105_x']
[24, 101, '0xfa2344', '0xfa1214', '1', 'pq_insert_95']
['Lock_1', 105, 'M1', -1, '1', 'pq_insert_96_x']
[25, 101, '0x7efedc0015c8', '0xfa1214', '1', 'pq_insert_96']
['UnLock_1', 106, 'M1', -1, '1', 'pq_insert_96_x']
[26, 101, '0x7efedc0015c4', '0xfa1214', '2', 'pq_insert_95']
['Lock_10', 105, 'M1', -1, '2', 'pq_insert_101_x']
[27, 101, '0x7efedc0015c8', '0xfa1214', '2', 'pq_insert_101']
['UnLock_10', 106, 'M1', -1, '2', 'pq_insert_101_x']
[28, 101, '0x7efedc0015c8', '0xfa2348', '2', 'pq_insert_101']
[29, 101, '0xfa2344', '0xfa2348', '2', 'pq_insert_101']
['Lock_3', 105, 'M1', -1, '2', 'pq_insert_102_x']
[30, 101, '0x7efedc0015c8', '0xfa1218', '2', 'pq_insert_102']
['UnLock_3', 106, 'M1', -1, '2', 'pq_insert_102_x']
[31, 101, '0xfa2348', '0xfa1214', '2', 'pq_insert_101']
[32, 101, '0xfa2348', '0xfa2348', '2', 'pq_insert_101']
[33, 101, '0xfa1214', '0xfa2348', '2', 'pq_insert_101']
['Lock_5', 105, 'M1', -1, '2', 'pq_insert_104_x']
[34, 101, '0xfa2348', '0xfa1214', '2', 'pq_insert_104']
['UnLock_5', 106, 'M1', -1, '2', 'pq_insert_104_x']
[35, 101, '0x7efed4000d48', '0xfa1214', '2', 'pq_insert_104']
['Lock_7', 105, 'M1', -1, '2', 'pq_insert_105_x']
[36, 101, '0xfa2348', '0xfa23d8', '2', 'pq_insert_105']
['UnLock_7', 106, 'M1', -1, '2', 'pq_insert_105_x']
[37, 101, '0x7efedc0015c4', '0xfa1214', '2', 'pq_insert_95']
[38, 101, '0x7efedc0015c8', '0xfa1214', '2', 'pq_insert_101']
[39, 101, '0x7efedc0015c8', '0xfa2348', '2', 'pq_insert_101']
[40, 101, '0xfa2344', '0xfa2348', '2', 'pq_insert_101']
[41, 101, '0x7efedc0015c8', '0xfa1218', '2', 'pq_insert_102']
[42, 101, '0xfa2348', '0xfa1214', '2', 'pq_insert_101']
[43, 101, '0xfa2348', '0xfa2348', '2', 'pq_insert_101']
