Threads: [{'139694999286400': 0, '139694990878464': 1, '139694999271168': 2}]
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c128', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c134', -1, 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c128', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c120', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c128', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c128', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c120', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c128', -1, 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c120', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0a8', 1, 'insertHeap_118']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_119']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 1, 'insertHeap_120']
['STORE', '0x1c7c138', '0x1c7c0a8', 1, 'insertHeap_120']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c128', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c138', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_124']
['STORE', '0x1c7c138', '0x1c7c120', 1, 'insertHeap_124']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c128', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c138', -1, 1, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 1, 'insertHeap_126']
['STORE', '0x1c7c128', '0x1c7c124', 1, 'insertHeap_126']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c120', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c128', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0a8', 2, 'insertHeap_118']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_119']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'insertHeap_120']
['STORE', '0x1c7c13c', '0x1c7c0a8', 2, 'insertHeap_120']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c12c', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c13c', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c13c', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c12c', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c13c', -1, 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c12c', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c124', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c12c', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c12c', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c124', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c12c', -1, 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c124', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c120', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c124', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0a8', 2, 'insertHeap_118']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_119']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 2, 'insertHeap_120']
['STORE', '0x1c7c140', '0x1c7c0a8', 2, 'insertHeap_120']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c12c', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c140', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c140', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c12c', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c140', -1, 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c12c', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c124', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c12c', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c12c', '0x1c7c120', 2, 'insertHeap_124']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c124', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_125']
['STORE', '0x1c7c12c', -1, 2, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c124', '0x1c7c124', 2, 'insertHeap_126']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c120', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c124', '0x1c7c120', 2, 'insertHeap_123']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0a8', 1, 'insertHeap_118']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_119']
['STORE', '0x1c7c0a0', '0x1c7c0ac', 1, 'insertHeap_120']
['STORE', '0x1c7c144', '0x1c7c0a8', 1, 'insertHeap_120']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c130', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c144', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_124']
['STORE', '0x1c7c144', '0x1c7c120', 1, 'insertHeap_124']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c130', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c144', -1, 1, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 1, 'insertHeap_126']
['STORE', '0x1c7c130', '0x1c7c124', 1, 'insertHeap_126']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c124', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c130', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_124']
['STORE', '0x1c7c130', '0x1c7c120', 1, 'insertHeap_124']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c124', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_125']
['STORE', '0x1c7c130', -1, 1, 'insertHeap_125']
['STORE', '0x1c7c0a0', '0x1c7c124', 1, 'insertHeap_126']
['STORE', '0x1c7c124', '0x1c7c124', 1, 'insertHeap_126']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c120', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0a0', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c124', '0x1c7c120', 1, 'insertHeap_123']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 2, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 1, 'insertHeap_111']
['STORE', '0x1c7c0a8', '0x1c7c0a8', 1, 'insertHeap_111']
['STORE', '0x1c7c0ac', '0x1c7c0ac', 2, 'insertHeap_111']
