Threads: [{'139796402426496': 0, '139796402411264': 1, '139796394018560': 2}]
['STORE', '0xbcf320', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf328', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf2c0', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf2c8', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf260', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf268', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf110', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf118', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf568', -1, 0, 'set_insert_83']
['STORE', '0xbcf560', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf568', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf500', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf508', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf4a0', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf4a8', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf440', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf448', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf3e0', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf3e8', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf380', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf388', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf320', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf328', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf2c0', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf2c8', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf260', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf268', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf110', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf118', '0xbcf268', 1, 'set_remove_111']
['STORE', '0xbcf268', -1, 1, 'set_remove_111']
['STORE', '0xbcf560', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf568', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf500', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf508', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf4a0', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf4a8', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf440', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf448', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf3e0', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf3e8', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf380', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf388', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf320', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf328', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf2c0', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf2c8', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf260', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf268', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf118', -1, 1, 'set_insert_83']
['STORE', '0xbcf110', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf118', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf560', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf568', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf500', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf508', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf4a0', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf4a8', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf440', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf448', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf3e0', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf3e8', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf380', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf388', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf320', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf328', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf2c0', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf2c8', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf260', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf268', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf110', '0xbcf110', 2, 'set_insert_74']
['STORE', '0xbcf110', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf118', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf560', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf568', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf500', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf508', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf4a0', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf4a8', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf440', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf448', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf3e0', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf3e8', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf380', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf388', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf320', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf328', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf2c0', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf2c8', '0xbcf268', 1, 'set_remove_98']
['STORE', '0xbcf260', '0xbcf110', 1, 'set_remove_96']
['STORE', '0xbcf268', '0xbcf268', 1, 'set_remove_111']
['STORE', '0xbcf2c8', -1, 1, 'set_remove_111']
['STORE', '0xbcf110', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf118', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf560', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf568', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf500', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf508', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf4a0', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf4a8', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf440', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf448', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf3e0', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf3e8', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf380', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf388', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf320', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf328', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf2c0', '0xbcf110', 2, 'set_remove_96']
['STORE', '0xbcf2c8', '0xbcf268', 2, 'set_remove_98']
['STORE', '0xbcf110', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf118', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf560', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf568', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf500', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf508', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf4a0', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf4a8', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf440', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf448', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf3e0', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf3e8', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf380', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf388', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf320', '0xbcf110', 1, 'set_insert_74']
['STORE', '0xbcf328', '0xbcf118', 1, 'set_insert_78']
['STORE', '0xbcf2c0', '0xbcf110', 1, 'set_insert_74']
