Threads: [{'140036350947968': 0, '140036342540032': 1, '140036350932736': 2}]
['STORE', '0x7f5cb0005220', -1, 1, 'deque_push_back_102']
['STORE', '0x7f5cb80018b8', -1, 1, 'deque_push_back_103']
['STORE', '0xbd4ad8', -1, 2, 'deque_push_front_86']
['STORE', '0xbd4ba0', -1, 2, 'deque_push_front_87']
['STORE', '0xbd49e8', -1, 1, 'deque_push_front_86']
['STORE', '0xbd4ae0', -1, 1, 'deque_push_front_87']
['STORE', '0x7f5cb0005210', '0xbd49e0', 2, 'deque_pop_back_143']
['STORE', '0x7f5cb0005220', '0xbd4ae0', 2, 'deque_pop_back_145']
['STORE', '0x7f5cb80018b8', -1, 2, 'deque_pop_back_150']
['STORE', '0x7f5cb80018b0', '0xbd49e0', 1, 'deque_pop_back_143']
['STORE', '0x7f5cb80018c0', '0xbd4ae0', 1, 'deque_pop_back_145']
['STORE', '0xbd4e38', -1, 1, 'deque_pop_back_150']
['STORE', '0xbd49e0', '0xbd49e0', 2, 'deque_pop_front_119']
['STORE', '0xbd49e8', '0x7f5cb0005218', 2, 'deque_pop_front_121']
['STORE', '0xbd4ae0', -1, 2, 'deque_pop_front_126']
['STORE', '0xbd49f0', -1, 2, 'deque_push_back_102']
['STORE', '0xbd4e38', -1, 2, 'deque_push_back_103']
['STORE', '0xbd4ad0', '0xbd49e0', 1, 'deque_pop_front_119']
['STORE', '0xbd4ad8', '0x7f5cb0005218', 1, 'deque_pop_front_121']
['STORE', '0xbd4ba0', -1, 1, 'deque_pop_front_126']
['STORE', '0x7f5cb0005218', -1, 2, 'deque_push_front_86']
['STORE', '0xbd4ba0', -1, 2, 'deque_push_front_87']
['STORE', '0xbd4ae0', -1, 1, 'deque_push_back_102']
['STORE', '0xbd49e8', -1, 1, 'deque_push_back_103']
['STORE', '0x7f5cb80018b8', -1, 1, 'deque_push_front_86']
['STORE', '0x7f5cb0005220', -1, 1, 'deque_push_front_87']
['STORE', '0xbd4ad0', '0xbd49e0', 2, 'deque_pop_back_143']
['STORE', '0xbd4ae0', '0xbd4ae0', 2, 'deque_pop_back_145']
['STORE', '0xbd49e8', -1, 2, 'deque_pop_back_150']
['STORE', '0xbd49e0', '0xbd49e0', 1, 'deque_pop_back_143']
['STORE', '0xbd49f0', '0xbd4ae0', 1, 'deque_pop_back_145']
['STORE', '0xbd4e38', -1, 1, 'deque_pop_back_150']
['STORE', '0x7f5cb80018b0', '0xbd49e0', 2, 'deque_pop_front_119']
['STORE', '0x7f5cb80018b8', '0x7f5cb0005218', 2, 'deque_pop_front_121']
['STORE', '0x7f5cb0005220', -1, 2, 'deque_pop_front_126']
['STORE', '0x7f5cb0005210', '0xbd49e0', 1, 'deque_pop_front_119']
['STORE', '0x7f5cb0005218', '0x7f5cb0005218', 1, 'deque_pop_front_121']
['STORE', '0xbd4ba0', -1, 1, 'deque_pop_front_126']
['STORE', '0x7f5cb80018c0', -1, 2, 'deque_push_back_102']
['STORE', '0xbd4e38', -1, 2, 'deque_push_back_103']
['STORE', '0x7f5cb0005220', -1, 1, 'deque_push_back_102']
['STORE', '0x7f5cb80018b8', -1, 1, 'deque_push_back_103']
['STORE', '0xbd4ad8', -1, 2, 'deque_push_front_86']
['STORE', '0xbd4ba0', -1, 2, 'deque_push_front_87']
['STORE', '0xbd49e8', -1, 1, 'deque_push_front_86']
['STORE', '0xbd4ae0', -1, 1, 'deque_push_front_87']
['STORE', '0x7f5cb0005210', '0xbd49e0', 2, 'deque_pop_back_143']
['STORE', '0x7f5cb0005220', '0xbd4ae0', 2, 'deque_pop_back_145']
['STORE', '0x7f5cb80018b8', -1, 2, 'deque_pop_back_150']
['STORE', '0x7f5cb80018b0', '0xbd49e0', 1, 'deque_pop_back_143']
['STORE', '0x7f5cb80018c0', '0xbd4ae0', 1, 'deque_pop_back_145']
['STORE', '0xbd4e38', -1, 1, 'deque_pop_back_150']
['STORE', '0xbd49e0', '0xbd49e0', 2, 'deque_pop_front_119']
['STORE', '0xbd49e8', '0x7f5cb0005218', 2, 'deque_pop_front_121']
['STORE', '0xbd4ae0', -1, 2, 'deque_pop_front_126']
['STORE', '0xbd4ad0', '0xbd49e0', 1, 'deque_pop_front_119']
['STORE', '0xbd4ad8', '0x7f5cb0005218', 1, 'deque_pop_front_121']
['STORE', '0xbd4ba0', -1, 1, 'deque_pop_front_126']
['STORE', '0xbd49f0', -1, 2, 'deque_push_back_102']
['STORE', '0xbd4e38', -1, 2, 'deque_push_back_103']
['STORE', '0x7f5cb0005218', -1, 2, 'deque_push_front_86']
['STORE', '0xbd4ba0', -1, 2, 'deque_push_front_87']
['STORE', '0xbd4ae0', -1, 1, 'deque_push_back_102']
['STORE', '0xbd49e8', -1, 1, 'deque_push_back_103']
['STORE', '0xbd4ad0', '0xbd49e0', 2, 'deque_pop_back_143']
['STORE', '0xbd4ae0', '0xbd4ae0', 2, 'deque_pop_back_145']
['STORE', '0xbd49e8', -1, 2, 'deque_pop_back_150']
['STORE', '0x7f5cb80018b8', -1, 1, 'deque_push_front_86']
['STORE', '0x7f5cb0005220', -1, 1, 'deque_push_front_87']
['STORE', '0x7f5cb80018b0', '0xbd49e0', 2, 'deque_pop_front_119']
['STORE', '0x7f5cb80018b8', '0x7f5cb0005218', 2, 'deque_pop_front_121']
['STORE', '0x7f5cb0005220', -1, 2, 'deque_pop_front_126']
['STORE', '0x7f5cb80018c0', -1, 2, 'deque_push_back_102']
['STORE', '0xbd49e8', -1, 2, 'deque_push_back_103']
['STORE', '0x7f5cb80018b0', '0xbd49e0', 1, 'deque_pop_back_143']
['STORE', '0x7f5cb80018c0', '0xbd4ae0', 1, 'deque_pop_back_145']
['STORE', '0xbd49e8', -1, 1, 'deque_pop_back_150']
['STORE', '0xbd4ad8', -1, 2, 'deque_push_front_86']
['STORE', '0x7f5cb0005220', -1, 2, 'deque_push_front_87']
['STORE', '0xbd49e0', '0xbd49e0', 2, 'deque_pop_back_143']
['STORE', '0xbd49f0', '0xbd4ae0', 2, 'deque_pop_back_145']
['STORE', '0xbd4e38', -1, 2, 'deque_pop_back_150']
['STORE', '0xbd4ad0', '0xbd49e0', 1, 'deque_pop_front_119']
['STORE', '0xbd4ad8', '0x7f5cb0005218', 1, 'deque_pop_front_121']
['STORE', '0x7f5cb0005220', -1, 1, 'deque_pop_front_126']
['STORE', '0xbd4ae0', -1, 1, 'deque_push_back_102']
['STORE', '0xbd4e38', -1, 1, 'deque_push_back_103']
['STORE', '0x7f5cb0005210', '0xbd49e0', 2, 'deque_pop_front_119']
['STORE', '0x7f5cb0005218', '0x7f5cb0005218', 2, 'deque_pop_front_121']
['STORE', '0xbd4ba0', -1, 2, 'deque_pop_front_126']
['STORE', '0x7f5cb80018b8', -1, 1, 'deque_push_front_86']
['STORE', '0xbd4ba0', -1, 1, 'deque_push_front_87']
['STORE', '0x7f5cb0005220', -1, 2, 'deque_push_back_102']
['STORE', '0xbd4ad8', -1, 2, 'deque_push_back_103']
['STORE', '0xbd49e8', -1, 2, 'deque_push_front_86']
['STORE', '0x7f5cb80018c0', -1, 2, 'deque_push_front_87']
['STORE', '0x7f5cb0005210', '0xbd49e0', 1, 'deque_pop_back_143']
['STORE', '0x7f5cb0005220', '0xbd4ae0', 1, 'deque_pop_back_145']
['STORE', '0xbd4ad8', -1, 1, 'deque_pop_back_150']
['STORE', '0xbd49e0', '0xbd49e0', 1, 'deque_pop_front_119']
['STORE', '0xbd49e8', '0x7f5cb0005218', 1, 'deque_pop_front_121']
['STORE', '0x7f5cb80018c0', -1, 1, 'deque_pop_front_126']
['STORE', '0xbd4ad0', '0xbd49e0', 2, 'deque_pop_back_143']
['STORE', '0xbd4ae0', '0xbd4ae0', 2, 'deque_pop_back_145']
['STORE', '0xbd4e38', -1, 2, 'deque_pop_back_150']
['STORE', '0xbd49f0', -1, 1, 'deque_push_back_102']
['STORE', '0xbd4e38', -1, 1, 'deque_push_back_103']
['STORE', '0x7f5cb80018b0', '0xbd49e0', 2, 'deque_pop_front_119']
['STORE', '0x7f5cb80018b8', '0x7f5cb0005218', 2, 'deque_pop_front_121']
['STORE', '0xbd4ba0', -1, 2, 'deque_pop_front_126']
['STORE', '0x7f5cb0005218', -1, 1, 'deque_push_front_86']
['STORE', '0xbd4ba0', -1, 1, 'deque_push_front_87']
['STORE', '0x7f5cb80018c0', -1, 2, 'deque_push_back_102']
['STORE', '0xbd49e8', -1, 2, 'deque_push_back_103']
['STORE', '0x7f5cb80018b0', '0xbd49e0', 1, 'deque_pop_back_143']
['STORE', '0x7f5cb80018c0', '0xbd4ae0', 1, 'deque_pop_back_145']
['STORE', '0xbd49e8', -1, 1, 'deque_pop_back_150']
['STORE', '0xbd4ad8', -1, 2, 'deque_push_front_86']
['STORE', '0x7f5cb0005220', -1, 2, 'deque_push_front_87']
['STORE', '0xbd4ad0', '0xbd49e0', 1, 'deque_pop_front_119']
